country,country1,country2,country_others,director,director_cn1,director_cn2,director_en1,director_en2,info,movie_name,ranking,score,tag,year
USA,USA,,,Frank Darabont,,,Frank Darabont,,"14 October 1994 (USA)
",The Shawshank Redemption,1,9.2,Drama,1994
USA,USA,,,Francis Ford Coppola,,,Francis Ford Coppola,,"24 March 1972 (USA)
",The Godfather,2,9.1,"Crime,Drama",1972
USA,USA,,,Francis Ford Coppola,,,Francis Ford Coppola,,"18 December 1974 (USA)
",The Godfather: Part II,3,9,"Crime,Drama",1974
"USA,UK",USA,UK,,Christopher Nolan,,,Christopher Nolan,,"18 July 2008 (USA)
",The Dark Knight,4,9,"Action,Crime,Drama",2008
USA,USA,,,Sidney Lumet,,,Sidney Lumet,,"10 April 1957 (USA)
",12 Angry Men,5,8.9,"Crime,Drama",1957
USA,USA,,,Steven Spielberg,,,Steven Spielberg,,"4 February 1994 (USA)
",Schindler's List,6,8.9,"Biography,Drama,History",1993
"New Zealand,USA",New Zealand,USA,,Peter Jackson,,,Peter Jackson,,"17 December 2003 (USA)
",The Lord of the Rings: The Return of the King,7,8.9,"Action,Adventure,Drama",2003
USA,USA,,,Quentin Tarantino,,,Quentin Tarantino,,"14 October 1994 (USA)
",Pulp Fiction,8,8.8,"Crime,Drama",1994
"Italy,Spain,West Germany",Italy,Spain,West Germany,Sergio Leone,,,Sergio Leone,,"29 December 1967 (USA)
","The Good, the Bad and the Ugly",9,8.8,Western,1966
"New Zealand,USA",New Zealand,USA,,Peter Jackson,,,Peter Jackson,,"19 December 2001 (USA)
",The Lord of the Rings: The Fellowship of the Ring,10,8.8,"Action,Adventure,Drama",2001
"USA,Germany,Italy",USA,Germany,Italy,David Fincher,,,David Fincher,,"15 October 1999 (USA)
",Fight Club,11,8.8,Drama,1999
USA,USA,,,Robert Zemeckis,,,Robert Zemeckis,,"6 July 1994 (USA)
",Forrest Gump,12,8.8,"Drama,Romance",1994
"USA,UK",USA,UK,,Christopher Nolan,,,Christopher Nolan,,"16 July 2010 (USA)
",Inception,13,8.7,"Action,Adventure,Sci-Fi",2010
"New Zealand,USA",New Zealand,USA,,Peter Jackson,,,Peter Jackson,,"18 December 2002 (USA)
",The Lord of the Rings: The Two Towers,14,8.7,"Action,Adventure,Drama",2002
USA,USA,,,Irvin Kershner,,,Irvin Kershner,,"20 June 1980 (USA)
",Star Wars: Episode V - The Empire Strikes Back,15,8.7,"Action,Adventure,Fantasy",1980
USA,USA,,,"Lana Wachowski,Lilly Wachowski",,,Lana Wachowski,Lilly Wachowski,"31 March 1999 (USA)
",The Matrix,16,8.6,"Action,Sci-Fi",1999
USA,USA,,,Martin Scorsese,,,Martin Scorsese,,"21 September 1990 (USA)
",Goodfellas,17,8.6,"Biography,Crime,Drama",1990
USA,USA,,,Milos Forman,,,Milos Forman,,"19 November 1975 (USA)
",One Flew Over the Cuckoo's Nest,18,8.6,Drama,1975
Japan,Japan,,,Akira Kurosawa,,,Akira Kurosawa,,"19 November 1956 (USA)
",Seven Samurai,19,8.6,"Action,Adventure,Drama",1954
USA,USA,,,David Fincher,,,David Fincher,,"22 September 1995 (USA)
",Se7en,20,8.6,"Crime,Drama,Mystery",1995
Italy,Italy,,,Roberto Benigni,,,Roberto Benigni,,"20 December 1997 (Italy)
",Life Is Beautiful,21,8.6,"Comedy,Drama,Romance",1997
"Brazil,France,Germany",Brazil,France,Germany,"Fernando Meirelles,Kátia Lund",,,Fernando Meirelles,Kátia Lund,"13 February 2004 (USA)
",City of God,22,8.6,"Crime,Drama",2002
